timestamp	generation	population_size	avg_fitness	generation_best	current_best
1740008858.6530883	295	300	4539679.817385907	4500178.963923715	4500178.963923715
1740008861.1808693	296	300	4542397.813528596	4498559.7915812675	4498559.7915812675
1740008863.759553	297	300	4542557.360341716	4490652.045818476	4490652.045818476
1740008866.407357	298	300	4541051.3917703135	4485201.476842725	4485201.476842725
1740008868.8931308	299	300	4527135.817697328	4480800.654781586	4480800.654781586
1740008871.5712552	300	300	4518813.056781174	4481444.832926684	4480800.654781586
1740008874.5018594	301	300	4522854.196993124	4474019.081211871	4474019.081211871
1740008877.318872	302	300	4520901.770284483	4468650.536743254	4468650.536743254
1740008879.974934	303	300	4502135.631696031	4471803.23181632	4468650.536743254
1740008882.7323434	304	300	4498162.165522492	4467341.81520111	4467341.81520111
1740008885.1978762	305	300	4502454.74968351	4459213.269106215	4459213.269106215
1740008887.6344078	306	300	4498851.432142288	4458266.650025382	4458266.650025382
1740008890.0715396	307	300	4492626.225924654	4446584.8943611365	4446584.8943611365
1740008892.576412	308	300	4497700.392516553	4444416.912698923	4444416.912698923
1740008895.2155592	309	300	4489471.6789861275	4448481.671707088	4444416.912698923
1740008897.7541356	310	300	4494106.860795988	4447747.8138557905	4444416.912698923
1740008900.8239784	311	300	4485061.593362566	4436697.018904166	4436697.018904166
1740008903.8632517	312	300	4492251.445845534	4432216.287419335	4432216.287419335
1740008906.7914996	313	300	4483482.173969462	4418976.2671024995	4418976.2671024995
1740008909.3886814	314	300	4468880.289236789	4425580.560779066	4418976.2671024995
1740008911.8969269	315	300	4465056.62074899	4429881.118721097	4418976.2671024995
1740008914.4901712	316	300	4482221.809549598	4428970.04735716	4418976.2671024995
1740008917.0372348	317	300	4461670.765013654	4419335.035669978	4418976.2671024995
1740008919.5100698	318	300	4465861.467034265	4417456.5222224	4417456.5222224
1740008921.8697262	319	300	4457465.219342195	4415389.388539217	4415389.388539217
1740008924.329741	320	300	4454965.484785142	4414123.538971871	4414123.538971871
1740008926.9365911	321	300	4447983.946756154	4403432.320275909	4403432.320275909
1740008929.4355226	322	300	4459082.892139113	4403432.320275909	4403432.320275909
1740008931.9131484	323	300	4436303.413120605	4397224.523634703	4397224.523634703
1740008934.4791458	324	300	4471027.570169999	4387626.878098034	4387626.878098034
1740008936.9777977	325	300	4442884.252717453	4385928.788363988	4385928.788363988
1740008939.582335	326	300	4416681.881900665	4374027.722124837	4374027.722124837
